Key,EngName,ProjectileKey,BaseSpritePath,SkillSpritePath,UltSpritePath,BaseAttackEffect,SkillAttackEffect,UltAttackEffect,BaseSpeed,SkillSpeed,UltSpeed,IsBaseRange,IsSkillRange,IsUltRange
4000,Diana,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4001,Gwin,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4002,Alette,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4003,Ed,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4004,Lonan,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4005,Jade,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4006,Levi,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4007,Erdin,Arrow,Sprites/Attack/Arrows/ArcherBase,Sprites/Attack/Arrows/ArcherSkill,Sprites/Attack/Arrows/ArcherUlt,Damage,Damage,Slow,5,8,15,TRUE,TRUE,TRUE
4008,Sylla,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4009,Ornn,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4010,Luke,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4011,Lethita,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4012,Eisen,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4013,Sein,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4014,Chris,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4015,Silphi,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4016,Hilde,,,,,,,,0,0,0,FALSE,FALSE,FALSE
4017,Elena,,,,,,,,0,0,0,FALSE,FALSE,FALSE
